fecha,turno,loteria,primero,segundo,tercero
2026-03-09,MEDIODIA,LotoReal,12,01,05
2026-03-09,TARDE,GanaMas,83,72,52
2026-03-09,NOCHE,Nacional Nocturna,52,56,21
2026-03-10,MEDIODIA,LotoReal,78,82,48
2026-03-10,TARDE,GanaMas,52,59,15
2026-03-10,NOCHE,Nacional Nocturna,23,54,92
2026-03-11,MEDIODIA,LotoReal,85,63,19
2026-03-11,TARDE,GanaMas,57,32,88
2026-03-11,NOCHE,Nacional Nocturna,76,71,01
2026-03-12,MEDIODIA,LotoReal,88,85,63
2026-03-12,TARDE,GanaMas,51,63,26
2026-03-12,NOCHE,Nacional Nocturna,02,44,79
2026-03-13,MEDIODIA,LotoReal,22,23,12
2026-03-13,TARDE,GanaMas,91,32,83
2026-03-13,NOCHE,Nacional Nocturna,57,83,52
2026-03-14,MEDIODIA,LotoReal,62,87,14
2026-03-14,TARDE,GanaMas,61,68,09
2026-03-14,NOCHE,Nacional Nocturna,21,33,12
2026-03-15,MEDIODIA,LotoReal,57,05,88
2026-03-15,TARDE,GanaMas,57,52,21
2026-03-15,NOCHE,Nacional Nocturna,85,65,57
2026-03-16,MEDIODIA,LotoReal,48,76,51
2026-03-16,TARDE,GanaMas,51,42,63
2026-03-16,NOCHE,Nacional Nocturna,41,74,88
2026-03-17,MEDIODIA,LotoReal,12,41,22
2026-03-17,TARDE,GanaMas,52,31,91
2026-03-17,NOCHE,Nacional Nocturna,19,45,57
2026-03-18,MEDIODIA,LotoReal,03,76,61
2026-03-18,TARDE,GanaMas,88,88,62
2026-03-18,NOCHE,Nacional Nocturna,01,16,21
2026-03-19,MEDIODIA,LotoReal,92,30,57
2026-03-19,TARDE,GanaMas,47,15,85
2026-03-19,NOCHE,Nacional Nocturna,79,48,48
2026-03-20,MEDIODIA,LotoReal,78,08,51
2026-03-20,TARDE,GanaMas,15,73,41
2026-03-20,NOCHE,Nacional Nocturna,72,50,05
2026-03-21,MEDIODIA,LotoReal,22,66,74
2026-03-21,TARDE,GanaMas,26,45,19
2026-03-21,NOCHE,Nacional Nocturna,73,81,11
2026-03-22,MEDIODIA,LotoReal,12,01,60
2026-03-22,TARDE,GanaMas,83,72,52
2026-03-22,NOCHE,Nacional Nocturna,52,56,19
2026-03-23,MEDIODIA,LotoReal,78,82,03
2026-03-23,TARDE,GanaMas,52,59,92
2026-03-23,NOCHE,Nacional Nocturna,23,54,01
2026-03-24,MEDIODIA,LotoReal,85,63,78
2026-03-24,TARDE,GanaMas,57,32,47
2026-03-24,NOCHE,Nacional Nocturna,76,71,79
2026-03-25,MEDIODIA,LotoReal,88,85,78
2026-03-25,TARDE,GanaMas,51,63,15
2026-03-25,NOCHE,Nacional Nocturna,02,44,72
2026-03-26,MEDIODIA,LotoReal,22,23,22
2026-03-26,TARDE,GanaMas,91,32,26
2026-03-26,NOCHE,Nacional Nocturna,57,83,73
2026-03-27,MEDIODIA,LotoReal,62,87,12
2026-03-27,TARDE,GanaMas,61,68,83
2026-03-27,NOCHE,Nacional Nocturna,21,33,52
2026-03-28,MEDIODIA,LotoReal,57,05,78
2026-03-28,TARDE,GanaMas,57,52,52
2026-03-28,NOCHE,Nacional Nocturna,85,65,23
2026-03-29,MEDIODIA,LotoReal,48,76,85
2026-03-29,TARDE,GanaMas,51,42,57
2026-03-29,NOCHE,Nacional Nocturna,41,74,76
2026-03-30,MEDIODIA,LotoReal,12,41,88
2026-03-30,TARDE,GanaMas,52,31,51
2026-03-30,NOCHE,Nacional Nocturna,19,45,02
2026-03-31,MEDIODIA,LotoReal,03,76,22
2026-03-31,TARDE,GanaMas,88,88,91
2026-03-31,NOCHE,Nacional Nocturna,01,16,57
2026-04-01,MEDIODIA,LotoReal,92,30,62
2026-04-01,TARDE,GanaMas,47,15,61
2026-04-01,NOCHE,Nacional Nocturna,79,48,21
2026-04-02,MEDIODIA,LotoReal,78,08,57
2026-04-02,TARDE,GanaMas,15,73,57
2026-04-02,NOCHE,Nacional Nocturna,72,50,85
2026-04-03,MEDIODIA,LotoReal,22,66,48
2026-04-03,TARDE,GanaMas,26,45,51
2026-04-03,NOCHE,Nacional Nocturna,73,81,41
2026-04-04,MEDIODIA,LotoReal,12,01,12
2026-04-04,TARDE,GanaMas,83,72,88
2026-04-04,NOCHE,Nacional Nocturna,52,56,01
2026-04-05,MEDIODIA,LotoReal,78,82,63
2026-04-05,TARDE,GanaMas,52,59,26
2026-04-05,NOCHE,Nacional Nocturna,23,54,79
2026-04-06,MEDIODIA,LotoReal,85,63,22
2026-04-06,TARDE,GanaMas,57,32,91
2026-04-06,NOCHE,Nacional Nocturna,76,71,57
2026-04-07,MEDIODIA,LotoReal,88,85,62
2026-04-07,TARDE,GanaMas,51,63,47
2026-04-07,NOCHE,Nacional Nocturna,02,44,19
2026-04-08,MEDIODIA,LotoReal,22,23,78
2026-04-08,TARDE,GanaMas,91,32,15
2026-04-08,NOCHE,Nacional Nocturna,57,83,72
2026-04-09,MEDIODIA,LotoReal,62,87,88
2026-04-09,TARDE,GanaMas,61,68,51
2026-04-09,NOCHE,Nacional Nocturna,21,33,02
2026-04-10,MEDIODIA,LotoReal,57,05,22
2026-04-10,TARDE,GanaMas,57,52,88
2026-04-10,NOCHE,Nacional Nocturna,85,65,01
2026-04-11,MEDIODIA,LotoReal,48,76,92
2026-04-11,TARDE,GanaMas,51,42,47
2026-04-11,NOCHE,Nacional Nocturna,41,74,79
2026-04-12,MEDIODIA,LotoReal,12,41,78
2026-04-12,TARDE,GanaMas,52,31,52
2026-04-12,NOCHE,Nacional Nocturna,19,45,23
2026-04-13,MEDIODIA,LotoReal,03,76,62
2026-04-13,TARDE,GanaMas,88,88,61
2026-04-13,NOCHE,Nacional Nocturna,01,16,57
2026-04-14,MEDIODIA,LotoReal,92,30,78
2026-04-14,TARDE,GanaMas,47,15,52
2026-04-14,NOCHE,Nacional Nocturna,79,48,21
2026-04-15,MEDIODIA,LotoReal,78,08,22
2026-04-15,TARDE,GanaMas,15,73,91
2026-04-15,NOCHE,Nacional Nocturna,72,50,57
2026-04-16,MEDIODIA,LotoReal,22,66,62
2026-04-16,TARDE,GanaMas,26,45,61
2026-04-16,NOCHE,Nacional Nocturna,73,81,21
2026-04-17,MEDIODIA,LotoReal,12,01,78
2026-04-17,TARDE,GanaMas,83,72,15
2026-04-17,NOCHE,Nacional Nocturna,52,56,72
2026-04-18,MEDIODIA,LotoReal,78,82,22
2026-04-18,TARDE,GanaMas,52,59,91
2026-04-18,NOCHE,Nacional Nocturna,23,54,57
2026-04-19,MEDIODIA,LotoReal,85,63,62
2026-04-19,TARDE,GanaMas,57,32,61
2026-04-19,NOCHE,Nacional Nocturna,76,71,21
2026-04-20,MEDIODIA,LotoReal,88,85,78
2026-04-20,TARDE,GanaMas,51,63,57
2026-04-20,NOCHE,Nacional Nocturna,02,44,85
2026-04-21,MEDIODIA,LotoReal,22,23,48
2026-04-21,TARDE,GanaMas,91,32,51
2026-04-21,NOCHE,Nacional Nocturna,57,83,41
2026-04-22,MEDIODIA,LotoReal,62,87,12
2026-04-22,TARDE,GanaMas,61,68,83
2026-04-22,NOCHE,Nacional Nocturna,21,33,52
2026-04-23,MEDIODIA,LotoReal,57,05,78
2026-04-23,TARDE,GanaMas,57,52,52
2026-04-23,NOCHE,Nacional Nocturna,85,65,23
2026-04-24,MEDIODIA,LotoReal,48,76,85
2026-04-24,TARDE,GanaMas,51,42,57
2026-04-24,NOCHE,Nacional Nocturna,41,74,76
2026-04-25,MEDIODIA,LotoReal,12,41,88
2026-04-25,TARDE,GanaMas,52,31,51
2026-04-25,NOCHE,Nacional Nocturna,19,45,02
2026-04-26,MEDIODIA,LotoReal,03,76,22
2026-04-26,TARDE,GanaMas,88,88,91
2026-04-26,NOCHE,Nacional Nocturna,01,16,57
2026-04-27,MEDIODIA,LotoReal,92,30,62
2026-04-27,TARDE,GanaMas,47,15,61
2026-04-27,NOCHE,Nacional Nocturna,79,48,21
2026-04-28,MEDIODIA,LotoReal,78,08,57
2026-04-28,TARDE,GanaMas,15,73,57
2026-04-28,NOCHE,Nacional Nocturna,72,50,85
2026-04-29,MEDIODIA,LotoReal,22,66,48
2026-04-29,TARDE,GanaMas,26,45,51
2026-04-29,NOCHE,Nacional Nocturna,73,81,41
2026-04-30,MEDIODIA,LotoReal,12,01,12
2026-04-30,TARDE,GanaMas,83,72,88
2026-04-30,NOCHE,Nacional Nocturna,52,56,01
2026-05-01,MEDIODIA,LotoReal,78,82,63
2026-05-01,TARDE,GanaMas,52,59,26
2026-05-01,NOCHE,Nacional Nocturna,23,54,79
2026-05-02,MEDIODIA,LotoReal,85,63,22
2026-05-02,TARDE,GanaMas,57,32,91
2026-05-02,NOCHE,Nacional Nocturna,76,71,57
2026-05-03,MEDIODIA,LotoReal,88,85,62
2026-05-03,TARDE,GanaMas,51,63,47
2026-05-03,NOCHE,Nacional Nocturna,02,44,19
2026-05-04,MEDIODIA,LotoReal,22,23,78
2026-05-04,TARDE,GanaMas,91,32,15
2026-05-04,NOCHE,Nacional Nocturna,57,83,72
2026-05-05,MEDIODIA,LotoReal,62,87,88
2026-05-05,TARDE,GanaMas,61,68,51
2026-05-05,NOCHE,Nacional Nocturna,21,33,02
2026-05-06,MEDIODIA,LotoReal,57,05,22
2026-05-06,TARDE,GanaMas,57,52,88
2026-05-06,NOCHE,Nacional Nocturna,85,65,01
2026-05-07,MEDIODIA,LotoReal,48,76,92
2026-05-07,TARDE,GanaMas,51,42,47
2026-05-07,NOCHE,Nacional Nocturna,41,74,79
2026-05-08,MEDIODIA,LotoReal,12,41,78
2026-05-08,TARDE,GanaMas,52,31,52
2026-05-08,NOCHE,Nacional Nocturna,19,45,23
2026-05-09,MEDIODIA,LotoReal,03,76,62
2026-05-09,TARDE,GanaMas,88,88,61
2026-05-09,NOCHE,Nacional Nocturna,01,16,57
2026-05-10,MEDIODIA,LotoReal,92,30,78
2026-05-10,TARDE,GanaMas,47,15,52
2026-05-10,NOCHE,Nacional Nocturna,79,48,21
2026-05-11,MEDIODIA,LotoReal,78,08,22
2026-05-11,TARDE,GanaMas,15,73,91
2026-05-11,NOCHE,Nacional Nocturna,72,50,57
2026-05-12,MEDIODIA,LotoReal,22,66,62
2026-05-12,TARDE,GanaMas,26,45,61
2026-05-12,NOCHE,Nacional Nocturna,73,81,21
2026-05-13,MEDIODIA,LotoReal,12,01,78
2026-05-13,TARDE,GanaMas,83,72,15
2026-05-13,NOCHE,Nacional Nocturna,52,56,72
2026-05-14,MEDIODIA,LotoReal,78,82,22
2026-05-14,TARDE,GanaMas,52,59,91
2026-05-14,NOCHE,Nacional Nocturna,23,54,57
2026-05-15,MEDIODIA,LotoReal,85,63,62
2026-05-15,TARDE,GanaMas,57,32,61
2026-05-15,NOCHE,Nacional Nocturna,76,71,21
2026-05-16,MEDIODIA,LotoReal,88,85,78
2026-05-16,TARDE,GanaMas,51,63,57
2026-05-16,NOCHE,Nacional Nocturna,02,44,85
2026-05-17,MEDIODIA,LotoReal,22,23,48
2026-05-17,TARDE,GanaMas,91,32,51
2026-05-17,NOCHE,Nacional Nocturna,57,83,41
2026-05-18,MEDIODIA,LotoReal,62,87,12
2026-05-18,TARDE,GanaMas,61,68,83
2026-05-18,NOCHE,Nacional Nocturna,21,33,52
2026-05-19,MEDIODIA,LotoReal,57,05,78
2026-05-19,TARDE,GanaMas,57,52,52
2026-05-19,NOCHE,Nacional Nocturna,85,65,23
2026-05-20,MEDIODIA,LotoReal,48,76,85
2026-05-20,TARDE,GanaMas,51,42,57
2026-05-20,NOCHE,Nacional Nocturna,41,74,76
2026-05-21,MEDIODIA,LotoReal,12,41,88
2026-05-21,TARDE,GanaMas,52,31,51
2026-05-21,NOCHE,Nacional Nocturna,19,45,02
2026-05-22,MEDIODIA,LotoReal,03,76,22
2026-05-22,TARDE,GanaMas,88,88,91
2026-05-22,NOCHE,Nacional Nocturna,01,16,57
2026-05-23,MEDIODIA,LotoReal,92,30,62
2026-05-23,TARDE,GanaMas,47,15,61
2026-05-23,NOCHE,Nacional Nocturna,79,48,21
2026-05-24,MEDIODIA,LotoReal,78,08,57
2026-05-24,TARDE,GanaMas,15,73,57
2026-05-24,NOCHE,Nacional Nocturna,72,50,85
2026-05-25,MEDIODIA,LotoReal,22,66,48
2026-05-25,TARDE,GanaMas,26,45,51
2026-05-25,NOCHE,Nacional Nocturna,73,81,41
2026-05-26,MEDIODIA,LotoReal,12,01,12
2026-05-26,TARDE,GanaMas,83,72,88
2026-05-26,NOCHE,Nacional Nocturna,52,56,01
2026-05-27,MEDIODIA,LotoReal,78,82,63
2026-05-27,TARDE,GanaMas,52,59,26
2026-05-27,NOCHE,Nacional Nocturna,23,54,79
2026-05-28,MEDIODIA,LotoReal,85,63,22
2026-05-28,TARDE,GanaMas,57,32,91
2026-05-28,NOCHE,Nacional Nocturna,76,71,57
2026-05-29,MEDIODIA,LotoReal,88,85,62
2026-05-29,TARDE,GanaMas,51,63,47
2026-05-29,NOCHE,Nacional Nocturna,02,44,19
2026-05-30,MEDIODIA,LotoReal,22,23,78
2026-05-30,TARDE,GanaMas,91,32,15
2026-05-30,NOCHE,Nacional Nocturna,57,83,72
2026-05-31,MEDIODIA,LotoReal,62,87,88
2026-05-31,TARDE,GanaMas,61,68,51
2026-05-31,NOCHE,Nacional Nocturna,21,33,02
fecha,turno,loteria,primero,segundo,tercero
2026-06-24,MANIANA,Anguila,08:00 AM,65,77,98
2026-06-24,MANIANA,Anguila,09:00 AM,55,19,27
2026-06-24,MANIANA,Haiti Bolet,09:30 AM,99,99,11
2026-06-24,MANIANA,Anguila,10:00 AM,30,51,84
2026-06-24,MANIANA,Haiti Bolet,10:30 AM,37,70,63
2026-06-24,MANIANA,Anguila,11:00 AM,96,73,67
2026-06-24,MANIANA,Haiti Bolet,11:30 AM,11,62,43
2026-06-24,MEDIODIA,Anguila,12:00 PM,33,64,42
2026-06-24,MEDIODIA,La Primera,12:00 PM,50,51,07
2026-06-24,MEDIODIA,LoteDom,12:00 PM,89,56,22
2026-06-24,MEDIODIA,La Suerte MD,12:30 PM,91,21,51
2026-06-24,MEDIODIA,King Lottery AM,12:30 PM,73,77,09
2026-06-24,TARDE,Quiniela Real,01:00 PM,45,60,08
2026-06-24,TARDE,Anguila,01:00 PM,92,88,29
2026-06-24,TARDE,Florida Dia,01:30 PM,61,37,40
2026-06-24,TARDE,Anguila,02:00 PM,29,25,29
2026-06-24,TARDE,Gana Mas,02:30 PM,41,07,81
2026-06-24,TARDE,New York Dia,02:30 PM,28,21,67
2026-06-24,TARDE,Anguila,03:00 PM,98,40,40
2026-06-24,TARDE,Anguila,04:00 PM,77,22,54
2026-06-24,TARDE,Anguila,05:00 PM,33,64,03
2026-06-24,TARDE,Haiti Bolet,05:30 PM,40,47,73
2026-06-24,TARDE,La Suerte 6PM,06:00 PM,86,45,95
2026-06-24,TARDE,Anguila,06:00 PM,54,10,00
2026-06-24,TARDE,Haiti Bolet,06:30 PM,94,46,09
2026-06-24,NOCHE,Anguila,07:00 PM,47,05,66
2026-06-24,NOCHE,King Lottery PM,07:30 PM,31,24,20
2026-06-24,NOCHE,Haiti Bolet,07:30 PM,63,96,83
2026-06-24,NOCHE,La Primera Noche,08:00 PM,28,65,26
2026-06-24,NOCHE,Quiniela Loteka,08:00 PM,54,69,13
2026-06-24,NOCHE,Anguila,08:00 PM,53,57,96
2026-06-24,NOCHE,Pega 3 Mas,08:55 PM,40,12,01
2026-06-24,NOCHE,Quiniela Leidsa,09:00 PM,88,28,70
2026-06-24,NOCHE,Anguila,09:00 PM,47,99,77
2026-06-24,NOCHE,Loteria Nacional,09:00 PM,47,46,28
2026-06-24,NOCHE,Florida Noche,09:40 PM,62,18,40
2026-06-24,NOCHE,New York Noche,10:30 PM,30,56,40
